Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS,Feedback_ID_Original
FB-8000,TRX-17461,3.0,4.0,,,1,50,-17.5,FB-8000
FB-8001,TRX-17755,4.0,5.0,,Maybe,1,59,-41.7,FB-8001
FB-8002,TRX-10534,3.0,4.0,No volvería,Maybe,0,84,-36.4,FB-8002
FB-8003,TRX-12569,2.0,3.0,,,1,20,7.4,FB-8003
FB-8004,TRX-19159,4.0,2.0,Dañado,Sí,0,83,61.0,FB-8004
FB-8005,TRX-16051,5.0,3.0,,Sí,1,77,95.0,FB-8005
FB-8006,TRX-11945,1.0,1.0,Precio justo,,1,46,63.4,FB-8006
FB-8007,TRX-19856,3.0,4.0,Precio justo,,0,24,-22.0,FB-8007
FB-8008,TRX-16694,1.0,4.0,Lento,No,0,21,75.1,FB-8008
FB-8009,TRX-11807,1.0,4.0,No volvería,No,0,67,64.8,FB-8009
FB-8010,TRX-11980,1.0,5.0,No volvería,No,1,38,82.4,FB-8010
FB-8011,TRX-16055,5.0,5.0,,,1,26,-86.9,FB-8011
FB-8012,TRX-19367,2.0,3.0,,Maybe,1,77,-29.3,FB-8012
FB-8013,TRX-14744,4.0,2.0,Lento,,0,29,-90.7,FB-8013
FB-8014,TRX-10659,5.0,1.0,No volvería,,0,73,-35.7,FB-8014
FB-8015,TRX-18565,2.0,2.0,No volvería,,0,22,-43.9,FB-8015
FB-8016,TRX-12511,3.0,2.0,,,1,80,82.1,FB-8016
FB-8017,TRX-11929,4.0,1.0,Precio justo,Sí,1,44,89.0,FB-8017
FB-8018,TRX-16086,2.0,5.0,Excelente,,0,66,39.0,FB-8018
FB-8019,TRX-14995,3.0,4.0,Dañado,Sí,0,37,-43.4,FB-8019
FB-8020,TRX-16135,4.0,5.0,Dañado,,1,46,-98.6,FB-8020
FB-8021,TRX-14968,3.0,4.0,Excelente,Maybe,0,53,34.1,FB-8021
FB-8022,TRX-14816,5.0,4.0,Dañado,Maybe,1,25,-0.1,FB-8022
FB-8023,TRX-17961,3.0,5.0,Excelente,Sí,0,47,-58.5,FB-8023
FB-8024,TRX-10458,1.0,2.0,No volvería,No,0,78,-64.8,FB-8024
FB-8025,TRX-12340,5.0,4.0,Lento,No,1,18,12.0,FB-8025
FB-8026,TRX-12328,3.0,5.0,,No,1,52,-73.9,FB-8026
FB-8027,TRX-19660,5.0,2.0,No volvería,No,0,63,9.8,FB-8027
FB-8028,TRX-16910,4.0,1.0,,No,0,35,83.2,FB-8028
FB-8029,TRX-10797,1.0,4.0,Lento,No,0,72,58.3,FB-8029
FB-8030,TRX-14999,1.0,2.0,,,1,48,88.3,FB-8030
FB-8031,TRX-14644,3.0,4.0,Excelente,Sí,1,81,-50.3,FB-8031
FB-8032,TRX-13532,4.0,2.0,,,1,37,90.4,FB-8032
FB-8033,TRX-12999,5.0,1.0,No volvería,Maybe,0,46,-5.0,FB-8033
FB-8034,TRX-18008,3.0,4.0,,Sí,1,60,26.1,FB-8034
FB-8035,TRX-10034,2.0,5.0,Excelente,Sí,0,72,-41.2,FB-8035
FB-8036,TRX-12004,3.0,2.0,,Maybe,1,47,98.8,FB-8036
FB-8037,TRX-18970,2.0,1.0,,No,0,50,-12.4,FB-8037
FB-8038,TRX-15712,1.0,4.0,,No,1,35,-62.5,FB-8038
FB-8039,TRX-11106,3.0,1.0,Precio justo,Maybe,1,66,14.8,FB-8039
FB-8040,TRX-10732,3.0,1.0,,,0,70,-48.9,FB-8040
FB-8041,TRX-16841,1.0,4.0,,,1,68,-12.8,FB-8041
FB-8042,TRX-17883,5.0,4.0,,Sí,1,27,-58.4,FB-8042
FB-8043,TRX-19389,3.0,2.0,Excelente,,1,82,-22.6,FB-8043
FB-8044,TRX-15074,4.0,5.0,,,1,45,-81.5,FB-8044
FB-8045,TRX-19269,1.0,1.0,No volvería,,0,35,-43.0,FB-8045
FB-8046,TRX-17411,5.0,4.0,Lento,Maybe,1,78,-50.2,FB-8046
FB-8047,TRX-15534,1.0,1.0,Precio justo,Sí,1,26,89.5,FB-8047
FB-8048,TRX-16181,1.0,2.0,No volvería,Maybe,0,77,18.5,FB-8048
FB-8049,TRX-17786,5.0,2.0,No volvería,,0,43,-94.7,FB-8049
FB-8050,TRX-19923,5.0,2.0,No volvería,Maybe,1,60,82.7,FB-8050
FB-8051,TRX-12175,5.0,5.0,,Sí,1,50,28.9,FB-8051
FB-8052,TRX-12269,4.0,3.0,Precio justo,No,1,37,-32.6,FB-8052
FB-8053,TRX-18270,2.0,3.0,No volvería,Sí,0,33,-26.7,FB-8053
FB-8054,TRX-17551,1.0,3.0,,,0,49,-93.7,FB-8054
FB-8055,TRX-17371,3.0,5.0,Lento,,0,28,94.9,FB-8055
FB-8056,TRX-17357,2.0,5.0,,Sí,0,79,72.1,FB-8056
FB-8057,TRX-12440,3.0,1.0,No volvería,No,0,43,-86.9,FB-8057
FB-8058,TRX-15328,3.0,1.0,Dañado,No,1,18,36.3,FB-8058
FB-8059,TRX-11463,3.0,2.0,Excelente,No,0,29,-10.2,FB-8059
FB-8060,TRX-16711,4.0,5.0,,Sí,1,74,61.7,FB-8060
FB-8061,TRX-16344,4.0,3.0,Dañado,,0,67,24.7,FB-8061
FB-8062,TRX-13814,2.0,3.0,,,0,36,-17.4,FB-8062
FB-8063,TRX-16478,5.0,1.0,Lento,,0,22,-12.7,FB-8063
FB-8064,TRX-15554,4.0,2.0,Lento,Maybe,0,48,30.3,FB-8064
FB-8065,TRX-18863,1.0,2.0,Excelente,,1,39,30.9,FB-8065
FB-8066,TRX-10750,2.0,4.0,Lento,No,1,83,11.5,FB-8066
FB-8067,TRX-17259,1.0,5.0,Lento,Maybe,1,21,76.8,FB-8067
FB-8068,TRX-14544,3.0,3.0,No volvería,Sí,1,47,55.9,FB-8068
FB-8069,TRX-11450,1.0,3.0,Excelente,No,0,40,-76.3,FB-8069
FB-8070,TRX-12713,4.0,1.0,,Sí,0,75,74.4,FB-8070
FB-8071,TRX-10406,1.0,1.0,Dañado,,0,38,-59.6,FB-8071
FB-8072,TRX-19371,3.0,5.0,No volvería,Maybe,0,71,90.1,FB-8072
FB-8073,TRX-15060,3.0,1.0,No volvería,Sí,1,76,61.5,FB-8073
FB-8074,TRX-19192,4.0,1.0,Dañado,No,0,24,81.8,FB-8074
FB-8075,TRX-12028,2.0,3.0,Lento,No,1,63,35.3,FB-8075
FB-8076,TRX-19164,5.0,5.0,Precio justo,Sí,0,80,30.3,FB-8076
FB-8077,TRX-11395,2.0,3.0,,,0,56,-50.2,FB-8077
FB-8078,TRX-13152,5.0,3.0,,Maybe,0,84,25.2,FB-8078
FB-8079,TRX-18877,4.0,1.0,,,0,84,-16.0,FB-8079
FB-8080,TRX-19451,4.0,3.0,Precio justo,,1,58,-69.3,FB-8080
FB-8081,TRX-10866,4.0,5.0,,,1,49,-28.0,FB-8081
FB-8082,TRX-19342,3.0,1.0,,Sí,0,53,32.4,FB-8082
FB-8083,TRX-18548,2.0,5.0,Lento,,0,20,75.1,FB-8083
FB-8084,TRX-13103,5.0,2.0,,Sí,1,73,-12.4,FB-8084
FB-8085,TRX-17796,2.0,5.0,No volvería,No,1,30,-42.0,FB-8085
FB-8086,TRX-18235,5.0,5.0,Dañado,No,0,66,-67.8,FB-8086
FB-8087,TRX-10305,1.0,4.0,Precio justo,No,1,84,-19.4,FB-8087
FB-8088,TRX-11970,2.0,5.0,No volvería,Sí,0,64,-43.1,FB-8088
FB-8089,TRX-18713,1.0,3.0,Precio justo,Sí,1,41,-10.6,FB-8089
FB-8090,TRX-12944,4.0,3.0,Dañado,Maybe,1,57,-79.9,FB-8090
FB-8091,TRX-10310,3.0,1.0,No volvería,,0,41,47.1,FB-8091
FB-8092,TRX-14504,3.0,2.0,,Sí,1,74,-99.1,FB-8092
FB-8093,TRX-13371,2.0,1.0,,Sí,0,41,39.9,FB-8093
FB-8094,TRX-14018,1.0,5.0,Excelente,,1,80,-38.7,FB-8094
FB-8095,TRX-19495,1.0,5.0,No volvería,Maybe,0,36,-28.2,FB-8095
FB-8096,TRX-17278,5.0,3.0,Excelente,,0,79,-65.8,FB-8096
FB-8097,TRX-11386,2.0,5.0,Lento,,1,47,93.6,FB-8097
FB-8098,TRX-18741,2.0,5.0,Dañado,No,0,82,-89.4,FB-8098
FB-8099,TRX-19942,1.0,3.0,Precio justo,No,1,19,-43.4,FB-8099
FB-8100,TRX-15249,1.0,2.0,Lento,,0,23,-70.6,FB-8100
FB-8101,TRX-16583,3.0,5.0,Lento,Maybe,1,81,-3.5,FB-8101
FB-8102,TRX-19648,2.0,4.0,,Maybe,0,27,12.0,FB-8102
FB-8103,TRX-10737,3.0,2.0,,Maybe,1,41,-60.7,FB-8103
FB-8104,TRX-18052,4.0,2.0,No volvería,Sí,1,20,31.1,FB-8104
FB-8105,TRX-10381,4.0,3.0,No volvería,No,1,64,10.5,FB-8105
FB-8106,TRX-15569,1.0,1.0,,Maybe,1,64,68.4,FB-8106
FB-8107,TRX-17160,5.0,5.0,,Sí,1,73,81.3,FB-8107
FB-8108,TRX-12957,1.0,5.0,Excelente,,1,70,38.9,FB-8108
FB-8109,TRX-16798,2.0,1.0,Excelente,,1,67,26.1,FB-8109
FB-8110,TRX-10394,1.0,5.0,Lento,,1,33,21.1,FB-8110
FB-8111,TRX-18649,3.0,4.0,Lento,No,1,21,-66.6,FB-8111
FB-8112,TRX-15199,1.0,1.0,No volvería,Sí,1,28,76.6,FB-8112
FB-8113,TRX-16258,3.0,3.0,No volvería,,0,41,-28.0,FB-8113
FB-8114,TRX-14213,4.0,1.0,,Maybe,0,48,38.3,FB-8114
FB-8115,TRX-11491,3.0,2.0,,Maybe,1,67,-11.9,FB-8115
FB-8116,TRX-11878,2.0,3.0,Precio justo,Maybe,0,49,80.6,FB-8116
FB-8117,TRX-11627,1.0,2.0,Dañado,Maybe,0,76,-18.5,FB-8117
FB-8118,TRX-18876,2.0,3.0,Precio justo,,1,29,12.0,FB-8118
